VISA_CLASS,BUSINESS_NAME,EMPLOYER _CITY,EMPLOYER _STATE,EMPLOYER _COUNTRY,EMPLOYER _PHONE,NAICS_CODE,JOB_TITLE,SUGGESTED _SOC_CODE,SUGGESTED_SOC_TITLE,SUPERVISOR_JOB_TITLE,SUPERVISE_OTHER_EMP,TRAVEL_REQUIRED,PRIMARY_EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUMBER_OF_MONTHS_TRAINING, ,EMP_EXPERIENCE_MONTHS,OCCUPATION_REQUIRED,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_COUNTY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,WORKSITE_COUNTS,PWD_SOC_CODE,PWD_SOC_TITLE,PWD_WAGE_RATE,PWD_UNIT_OF_PAY,PWD_WAGE_LEVEL,PWD_WAGE_SOURCE,PWD_WAGE_EXPIRATION_DATE,SURVEY_PUBLICATION_DATE
H-1B,VANTAGE LABS LLC,NEW HOPE,PENNSYLVANIA,UNITED STATES OF AMERICA,267-895-4601,541511,Application Developer,15-1131,Computer Programmers,,N,N,Bachelor's,,Computer Science & Engineering,N,,N,,Y,24,Computer Programming,New Hope,BUCKS,PENNSYLVANIA,18938-1079,N,1,15-1131,Computer Programmers,72904,Year,Level II,OES (All Industries),30-Jun-18,
H-1B,MAXOTECH SOLUTIONS LLC,DALLAS,TEXAS,UNITED STATES OF AMERICA,469-844-2211,541511,SOFTWARE ENGINEER,15-1132,"Software Developers, Applications",IT Manager,N,N,Bachelor's,,See E.b.5,N,,N,,Y,24,"Software Development, Programming Analys",WINSTON SALEM,FORSYTH,NORTH CAROLINA,33607,N,1,15-1199,"Computer Occupations, All Other",42453,Year,Level I,OES (All Industries),30-Jun-18,
H-1B,THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-792-1112,611310,Fellow,19-1042,"Medical Scientists, Except Epidemiologists",Program Director,N,N,"Other Degree (JD, MD, etc.)",DDS or DMD,"Dentistry, Oral, & Oncology",N,,Y,36,N,,,Houston,HARRIS,TEXAS,77030,Y,2,29-1024,Prosthodontists,85310,Year,Level II,OES (ACWIA - Higher Education),15-Aug-18,
H-1B,THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-792-1112,611310,Research Scientist,19-1042,"Medical Scientists, Except Epidemiologists",Professor,N,N,Doctorate (PhD),,Natural Sciences,N,,N,,N,,,Houston,HARRIS,TEXAS,77030,N,1,19-1042,"Medical Scientists, Except Epidemiologists",39250,Year,Level I,OES (ACWIA - Higher Education),30-Jun-19,
H-1B,"AISHA'S SALON & SPA, INC",Houston,TEXAS,UNITED STATES OF AMERICA,281-495-4910,812112,Accounting Manager,13-2011,Accountants and Auditors,President,N,N,Bachelor's,,Business Administration in Accounting,N,,N,,N,,,Houston,HARRIS,TEXAS,77036,N,1,13-2011,Accountants and Auditors,52811,Year,Level I,OES (All Industries),12-Aug-18,
H-1B,Mohegan Sun Tribal Gaming Authority,Uncasville,CONNECTICUT,UNITED STATES OF AMERICA,860-862-778,541511,Software Developer,15-1132,"Software Developers, Applications",IT Production Manager,N,N,Bachelor's,,"Computer Science, Engineering, Busines",N,,N,,Y,48,Analyzing and programming in buisness intelligence role,Uncasville,New London,CONNECTICUT,6382,N,1,15-1121,Computer Systems Analysts,97344,Year,Level III,OES (All Industries),30-Jun-18,
H-1B,"SEVEN SEAS TECHNOLOGIES, INC.",CHESTERFIELD,MISSOURI,UNITED STATES OF AMERICA,636-530-9286,541512,ETL Developer,15-1132,"Software Developers, Applications",Systems Manager,N,N,Bachelor's,N/A,"Comp.Sci.,Comp.Engg.,IT, or related",N,,N,,Y,24,Software Developer or related,Jefferson City,COLE,MISSOURI,65109,N,1,15-1132,"Software Developers, Applications",55390,Year,Level I,OES (All Industries),29-Jul-18,
H-1B,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-500-3176,611310,Postdoctoral Research Fellow,19-1042,"Medical Scientists, Except Epidemiologists",Assistant Professor,N,N,Doctorate (PhD),,Research,N,,N,,N,,,Houston,HARRIS,TEXAS,77030,N,1,19-1021,Biochemists and Biophysicists,32032,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,"EMPYREAN BENEFIT SOLUTIONS, INC.",HOUSTON,TEXAS,UNITED STATES OF AMERICA,832-730-7500,518210,Business Systems Analyst,15-1199,"Computer Occupations, All Other",Client Services Manager,N,N,Bachelor's,,Management,N,,N,,Y,4,Business Administration,Houston,HARRIS,TEXAS,77042,N,1,15-1121,Computer Systems Analysts,63294,Year,Level I,OES (All Industries),30-Jun-18,
H-1B,"MARC FISHER, LLC",GREENWICH,CONNECTICUT,UNITED STATES OF AMERICA,203-302-2885,541490,Industrial Production Manager,11-3051,Industrial Production Managers,,N,N,Bachelor's,,"Indus Engr, Production, Management",N,,N,,Y,12,Development Manager,Greenwich,FAIRFIELD (GREENWICH),CONNECTICUT,6831,N,1,11-3051,Industrial Production Managers,74443,Year,Level I,OES (All Industries),11-Jul-18,
H-1B,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,ILLINOIS,UNITED STATES OF AMERICA,312-996-3121,611310,Research Specialist,19-1021,Biochemists and Biophysicists,Principal Investigator,N,Y,Bachelor's,,Pharma/BioSci/ChemSci/HlthSci/rlted,N,,N,,Y,36,Related scientific research,Chicago,COOK,ILLINOIS,60607,N,1,19-1021,Biochemists and Biophysicists,41579,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
